Date,consumer-cyclicals,energy,financial,technology,IHSG
2021-03-10,82.89516484469935,81.02104574296314,827.5383422227474,56.18663767169476,6264.6791992188
2021-03-12,83.25536443360465,83.07809054639648,835.3918306326389,55.579623828668446,6358.208984375
2021-03-15,83.18149554796098,82.67808995818808,827.5068032856044,57.41782196643249,6324.2587890625
2021-03-16,83.7547676038214,82.23634343518128,822.6660946960621,57.71942504898364,6309.69921875
2021-03-17,83.60779933599645,81.74954888705204,815.4332756850815,56.66672975279088,6277.2280273438
2021-03-18,84.00595922421388,82.74817175166461,825.1728441203196,55.271625649946785,6347.8291015625
2021-03-19,84.08583831087559,82.5511765274212,819.114097577361,54.64388892458727,6356.16015625
2021-03-22,84.2870132385961,83.41002869071013,805.8652967912192,59.5244426647015,6301.130859375
2021-03-23,83.6042539693586,83.29681052137097,797.0902616689486,60.8431808784477,6252.7119140625
2021-03-24,82.34362650023877,80.71924262109836,788.3408812999033,59.795645874668566,6156.1401367188
2021-03-25,81.43661959760927,79.827595020028,776.640561105665,59.175206598799434,6122.8759765625
2021-03-26,82.326985456447,80.7248519330522,786.005101433742,59.92253427012194,6195.5620117188
2021-03-29,82.62164134733514,79.51500798063424,779.1737576809143,59.83412922454517,6166.8178710938
2021-03-30,81.62593392857404,77.97775184348032,767.380578896501,57.67367383155906,6071.4418945312
2021-03-31,80.49766991524024,77.14734161467037,749.5180624029692,56.48069609116333,5985.5219726562
2021-04-01,80.85673141191035,77.7189122516176,751.2296288529758,60.22794411560055,6011.4560546875
2021-04-05,81.54338425947252,77.04944819149074,743.3452941437674,59.35274792876057,5970.2861328125
2021-04-06,82.12158683681817,77.44635062181621,747.8600146702496,60.64280578323591,6002.7700195312
2021-04-07,82.11144457874687,78.59701748376179,754.2417508876847,62.00276724087418,6036.6162109375
2021-04-08,82.35357351361145,78.57799373390067,764.0188193229226,61.06161760775256,6071.7241210938
2021-04-09,82.45116394375476,78.51109275525772,768.685858161838,61.284269079644794,6070.208984375
2021-04-12,80.91483271798647,76.13964958342576,756.1003176578442,59.86110208905878,5948.5688476562
2021-04-13,80.62934343505844,74.903481351656,750.9312974260552,59.198491281976054,5927.4350585938
2021-04-14,81.71455585155934,75.57388874901413,774.0101081115603,61.02010296585514,6050.2758789062
2021-04-15,82.28617984844833,75.44822942209129,777.2445625717213,63.8956584200579,6079.5009765625
2021-04-16,83.07072744067327,75.7332429284627,776.6277808851437,64.2888172279711,6086.2578125
2021-04-19,82.41223159030125,75.9956563081747,774.2892020165067,63.20001513077249,6052.5400390625
2021-04-20,82.75456572729556,75.3358941364296,767.9852588340566,63.00559417631535,6038.3217773438
2021-04-21,82.49424021181316,75.28074741346354,760.5418972538325,62.162765004039336,5993.2421875
2021-04-22,82.2457971710787,75.70843054041806,760.8018359572346,62.02698573553417,5994.1840820312
2021-04-23,83.29199563141854,76.59395975688446,764.9504255242676,61.513447059746454,6016.8637695312
2021-04-26,83.34013162552802,76.8899682484319,751.8507986487617,60.81603059932122,5964.8208007812
2021-04-27,82.63212950048342,78.5037152539122,756.1771375400892,58.54152734520639,5959.62109375
2021-04-28,82.63703245135723,79.27663890775601,754.4921134047885,59.58169901234322,5974.4790039062
2021-04-29,83.6589162075061,79.5535102569502,760.6321330870542,60.48040737036381,6012.9609375
2021-04-30,83.16664655208899,80.5247236452632,753.8901610144346,59.37127703046775,5995.6162109375
2021-05-03,82.52014026876256,80.63129693401444,750.4510717159244,59.465070606950555,5952.5971679688
2021-05-04,81.92393721686828,80.92857079181638,753.8670237270679,59.122762584128964,5963.8198242188
2021-05-05,82.19904347215106,80.49111546210345,755.8005621975848,60.059353810762936,5975.9111328125
2021-05-06,82.06764677690612,80.59802779039317,758.5570474062781,60.9820756533652,5970.240234375
2021-05-07,81.31136507553514,80.37636024592678,752.5955255376305,60.83591288356837,5928.3090820312
2021-05-10,81.69136551711091,80.97931694691822,755.7028194336308,60.95037988214321,5975.787109375
2021-05-11,81.26856686332015,81.35526863126499,753.0959408460462,59.22840820963886,5938.3510742188
2021-05-17,80.20398763458452,80.75144934167119,743.8954584470766,56.48883834224804,5833.8598632812
2021-05-18,80.30481519356557,81.75438383217397,735.6034561807963,59.03883985806206,5834.3940429688
2021-05-19,80.21452505598586,81.10286465030086,723.4203052321038,61.49048067392222,5760.583984375
2021-05-20,80.39173163278947,80.71818959064126,725.0129023075596,61.60603550181272,5797.5971679688
2021-05-21,80.18145073091183,80.32212588364706,726.3312706345604,61.518244142309655,5773.1201171875
2021-05-24,80.09366526242434,80.39244253986826,730.5380566354148,61.30092561043544,5763.6318359375
2021-05-25,80.48389314903596,81.70549006859089,740.6129980401544,62.41564739719705,5815.83984375
2021-05-27,80.9309771598208,81.5055768435047,738.440920344296,64.13344674227584,5841.828125
2021-05-28,81.26282800002734,81.39961268609066,744.4632045625474,63.69121024862986,5848.6162109375
2021-05-31,81.70841722289197,81.86118610847176,757.5902226986728,65.204639523088,5947.462890625
2021-06-02,82.7446197295827,83.72459086306779,766.9764392467921,67.16924275100827,6031.578125
2021-06-03,83.27571659528813,83.18208789545272,776.6187791269948,69.79108679974244,6091.5131835938
2021-06-04,83.0456324581034,82.956359568101,776.8808684911484,72.66798086803645,6065.166015625
2021-06-07,85.4292826304025,82.13900416853407,775.8657539160573,76.70930111836523,6069.9350585938
2021-06-08,84.25008984374192,81.61851280164211,764.3732158547826,79.52820252724712,5999.369140625
2021-06-09,83.83197901137956,82.13832891585746,775.3416051469907,81.98829110596915,6047.4750976562
2021-06-10,84.82687717884006,82.39419963595799,789.0521568878457,85.51818056889952,6107.5380859375
2021-06-11,84.75849869729466,84.74548275381989,782.7414162382713,87.644576692496,6095.4970703125
2021-06-14,84.05447360312013,84.41662857621287,779.7369831811513,91.66640523043542,6080.3837890625
2021-06-15,83.42794054499223,83.90712872947424,776.9273198243866,93.62084449465804,6089.0380859375
2021-06-16,83.41399308289755,84.33406687034127,766.1239623208581,100.68933313436197,6078.5678710938
2021-06-17,83.05329986257513,83.2717647381249,767.9736326410733,104.51173131664592,6068.4467773438
2021-06-18,81.89855806877264,81.60951498126663,765.8698661597871,104.58259535747416,6007.1201171875
2021-06-21,81.5228385445873,80.8709154426563,762.2726361260356,104.10917980784492,5996.2529296875
2021-06-22,82.41102320173577,81.78534207095295,778.6808533973257,106.84295789661131,6087.841796875
2021-06-23,81.87615327189333,81.58566531215546,762.3857256100413,107.47741886644206,6034.54296875
2021-06-24,82.17710669722325,80.99143463867036,761.7162018602237,108.25614986972698,6012.0561523438
2021-06-25,82.99104105013026,81.55852627040461,763.7073144850617,107.91996274782466,6022.3989257812
2021-06-28,82.0893570422076,80.2029342373525,752.4089141732064,107.39087454375382,5939.4711914062
2021-06-29,81.58314178580433,79.8777910544057,752.2041409197736,106.22299468690859,5949.0498046875
2021-06-30,82.53543072728246,80.57136987850582,761.3010137051103,106.75854237045215,5985.4887695312
2021-07-01,82.82341086592096,80.56813982730947,759.8265058577814,107.64066535780967,6005.9580078125
2021-07-02,83.256310260993,81.38559328162808,764.8899920338806,108.12175724251902,6023.0078125
2021-07-05,83.69196383242763,80.85215943305148,770.5742944029205,109.28431263064837,6005.6088867188
2021-07-06,85.8186173607965,82.08602199419292,771.5952227758338,112.37595211383847,6047.1108398438
2021-07-07,86.7341336412531,81.23067819055619,775.6212800356213,113.02170337127602,6044.037109375
2021-07-08,86.69394456926702,80.74667193517782,778.389829634085,113.46683565873974,6039.8959960938
2021-07-09,86.0654524096465,80.54986660826528,776.5948658850497,112.89694482340164,6039.8442382812
2021-07-12,85.45175916930363,80.37579764810711,785.8086448768628,110.40879605825258,6078.5678710938
2021-07-13,84.04661333024286,79.54608478580506,777.7665864339485,107.67980844819532,6012.0322265625
2021-07-14,83.12687482580039,79.4226637829642,770.213908626307,109.02430180933555,5979.21484375
2021-07-15,83.71500643091456,80.17804234083744,781.8674741063311,109.74427141362087,6046.75390625
2021-07-16,83.50124829518562,81.74959920106818,785.9668231116491,109.28546209349281,6072.509765625
2021-07-19,82.83355641692503,81.62571249155289,777.9044935805146,108.31956805310968,6017.3940429688
2021-07-21,84.03507347327793,81.43552365070367,782.4730985914375,108.52076707844174,6029.9760742188
2021-07-22,84.52246153606401,83.55456188999693,800.9029369887878,111.94247446744512,6137.546875
2021-07-23,84.25120677626971,83.26214924171744,797.1674314152607,112.58753776642895,6101.6899414062
2021-07-26,85.3809352627282,83.17246673045176,796.6323428620973,113.25837159667778,6106.3940429688
2021-07-27,85.32210862942789,82.92561890470344,795.9787859632955,114.5827787918203,6097.048828125
2021-07-28,86.35012950595019,82.91118536482352,797.4859470939372,114.41967491588221,6088.5229492188
2021-07-29,86.5323326171233,84.3027326385724,799.1815079297127,115.5769444329311,6120.7270507812
2021-07-30,86.53483920241185,83.42542515133445,790.2819447944074,116.67213047724086,6070.0390625
2021-08-02,86.13447861266188,83.80232137011765,789.0666999782795,115.78140383457594,6096.54296875
2021-08-03,86.49988537443136,83.46899403792331,799.4951059216357,116.01625230592812,6130.5708007812
2021-08-04,86.17337597189871,83.390189324379,814.4178259678575,115.2684131860881,6159.03515625
2021-08-05,85.13953296954153,82.98763488796834,838.2824138100227,115.73885072878296,6205.4169921875
2021-08-06,85.33640863176151,82.60632215603323,831.9704598003495,146.80125956685197,6203.4311523438
2021-08-09,86.07924887771408,81.49258038027573,820.290102683309,145.61040905667818,6127.4560546875
2021-08-10,87.25346608701888,81.43802729457737,812.2664268900996,140.82381625015782,6088.408203125
2021-08-12,89.70396481732199,82.64633079530947,813.8247428455179,138.597422534345,6139.6518554688
2021-08-13,88.29749015500008,82.49949613828196,816.5646483014825,136.37947663903716,6139.4921875
2021-08-16,87.71599400298955,82.36082740917273,813.0165038986892,129.08409082187868,6087.9130859375
2021-08-18,86.77486325439342,81.31744000915405,823.7494738784088,122.59191020868245,6118.1499023438
2021-08-19,85.73791923306794,79.48881694164099,802.3752708932374,120.37381835706758,5992.3217773438
2021-08-20,86.55213123136883,79.72631890733382,811.1361443399549,120.71135953812824,6030.7719726562
2021-08-23,86.60602212744236,81.72834300459047,821.1424113276157,124.287719353145,6109.828125
2021-08-24,85.86760842262106,80.72237728381273,817.2408170639733,127.42953477456788,6089.4970703125
2021-08-25,85.4796495562791,81.39631885861807,820.4690429271418,128.59571222037624,6113.240234375
2021-08-26,84.33945220005809,81.18756378713495,808.851339336224,128.87548208781158,6058.080078125
2021-08-27,83.29291326384411,80.54428034692577,803.292847728609,132.25076104214298,6041.3662109375
